,parents,has_nurs,form,children,housing,finance,social,health,target
2805,usual,critical,complete,more,critical,inconv,problematic,priority,spec_prior
8210,pretentious,very_crit,incomplete,1,convenient,convenient,slightly_prob,recommended,priority
7319,pretentious,critical,completed,more,less_conv,inconv,slightly_prob,recommended,spec_prior
7020,pretentious,critical,complete,3,convenient,convenient,nonprob,priority,spec_prior
6091,pretentious,improper,complete,1,critical,convenient,problematic,not_recom,not_recom
895,usual,less_proper,complete,1,less_conv,inconv,slightly_prob,not_recom,not_recom
6701,pretentious,improper,foster,1,convenient,convenient,problematic,recommended,priority
4133,usual,very_crit,foster,1,less_conv,inconv,slightly_prob,recommended,spec_prior
10505,great_pret,improper,complete,3,less_conv,inconv,slightly_prob,recommended,spec_prior
12556,great_pret,very_crit,incomplete,1,less_conv,inconv,nonprob,not_recom,not_recom
7470,pretentious,critical,incomplete,3,less_conv,convenient,nonprob,priority,spec_prior
9866,great_pret,less_proper,completed,3,critical,convenient,slightly_prob,recommended,priority
3200,usual,critical,incomplete,more,convenient,inconv,problematic,recommended,spec_prior
4129,usual,very_crit,foster,1,less_conv,convenient,problematic,not_recom,not_recom
3293,usual,critical,foster,2,convenient,convenient,nonprob,recommended,priority
3690,usual,very_crit,completed,1,less_conv,convenient,nonprob,priority,spec_prior
6204,pretentious,improper,complete,3,critical,inconv,slightly_prob,priority,spec_prior
9639,great_pret,less_proper,complete,3,less_conv,inconv,nonprob,priority,spec_prior
7806,pretentious,very_crit,complete,1,less_conv,inconv,slightly_prob,priority,spec_prior
12471,great_pret,very_crit,completed,3,critical,inconv,problematic,priority,spec_prior
2369,usual,improper,incomplete,more,critical,inconv,slightly_prob,recommended,priority
10858,great_pret,improper,incomplete,2,convenient,convenient,slightly_prob,not_recom,not_recom
712,usual,proper,foster,2,convenient,inconv,nonprob,not_recom,not_recom
5032,pretentious,proper,foster,2,convenient,inconv,nonprob,not_recom,not_recom
10534,great_pret,improper,complete,more,convenient,convenient,slightly_prob,not_recom,not_recom
11269,great_pret,critical,complete,1,critical,convenient,nonprob,not_recom,not_recom
4136,usual,very_crit,foster,1,less_conv,inconv,problematic,recommended,spec_prior
2281,usual,improper,incomplete,3,convenient,inconv,slightly_prob,not_recom,not_recom
12547,great_pret,very_crit,incomplete,1,less_conv,convenient,nonprob,not_recom,not_recom
5997,pretentious,less_proper,foster,more,convenient,convenient,slightly_prob,priority,priority
2463,usual,improper,foster,2,less_conv,inconv,problematic,priority,priority
2006,usual,improper,completed,2,convenient,inconv,nonprob,recommended,very_recom
6060,pretentious,improper,complete,1,convenient,inconv,slightly_prob,priority,priority
7535,pretentious,critical,incomplete,more,less_conv,inconv,slightly_prob,recommended,spec_prior
6392,pretentious,improper,completed,3,less_conv,convenient,slightly_prob,recommended,priority
8,usual,proper,complete,1,convenient,inconv,nonprob,recommended,very_recom
11300,great_pret,critical,complete,2,convenient,inconv,problematic,recommended,spec_prior
3372,usual,critical,foster,3,less_conv,convenient,problematic,priority,spec_prior
1628,usual,less_proper,foster,3,convenient,inconv,nonprob,recommended,priority
4698,pretentious,proper,completed,more,convenient,convenient,nonprob,priority,priority
4517,pretentious,proper,complete,more,critical,convenient,nonprob,recommended,priority
7817,pretentious,very_crit,complete,1,critical,convenient,problematic,recommended,spec_prior
495,usual,proper,incomplete,2,convenient,inconv,nonprob,priority,priority
2882,usual,critical,completed,2,less_conv,convenient,slightly_prob,recommended,priority
11742,great_pret,critical,incomplete,2,less_conv,convenient,problematic,priority,spec_prior
10157,great_pret,less_proper,foster,1,convenient,convenient,problematic,recommended,priority
1808,usual,improper,complete,2,less_conv,inconv,nonprob,recommended,very_recom
8982,great_pret,proper,completed,3,less_conv,convenient,nonprob,priority,spec_prior
9195,great_pret,proper,incomplete,3,convenient,inconv,problematic,priority,spec_prior
10531,great_pret,improper,complete,more,convenient,convenient,nonprob,not_recom,not_recom
3236,usual,critical,incomplete,more,critical,inconv,problematic,recommended,spec_prior
8683,great_pret,proper,complete,1,critical,convenient,problematic,not_recom,not_recom
12014,great_pret,critical,foster,3,less_conv,inconv,nonprob,recommended,spec_prior
3625,usual,very_crit,complete,more,convenient,convenient,problematic,not_recom,not_recom
2389,usual,improper,foster,1,convenient,inconv,slightly_prob,not_recom,not_recom
8617,pretentious,very_crit,foster,more,less_conv,inconv,slightly_prob,not_recom,not_recom
10797,great_pret,improper,completed,more,critical,inconv,problematic,priority,spec_prior
11287,great_pret,critical,complete,2,convenient,convenient,nonprob,not_recom,not_recom
7393,pretentious,critical,incomplete,1,critical,inconv,slightly_prob,not_recom,not_recom
7075,pretentious,critical,complete,more,convenient,convenient,nonprob,not_recom,not_recom
7132,pretentious,critical,completed,1,convenient,convenient,slightly_prob,not_recom,not_recom
5564,pretentious,less_proper,completed,more,convenient,convenient,slightly_prob,recommended,very_recom
4571,pretentious,proper,completed,1,critical,convenient,nonprob,recommended,priority
7663,pretentious,critical,foster,2,critical,inconv,slightly_prob,not_recom,not_recom
321,usual,proper,completed,2,critical,inconv,problematic,priority,priority
7614,pretentious,critical,foster,2,convenient,convenient,nonprob,priority,spec_prior
8671,great_pret,proper,complete,1,less_conv,inconv,slightly_prob,not_recom,not_recom
3526,usual,very_crit,complete,2,convenient,inconv,problematic,not_recom,not_recom
9316,great_pret,proper,foster,1,less_conv,inconv,nonprob,not_recom,not_recom
228,usual,proper,completed,1,convenient,inconv,slightly_prob,priority,priority
9165,great_pret,proper,incomplete,2,critical,convenient,slightly_prob,priority,spec_prior
2173,usual,improper,incomplete,1,convenient,inconv,slightly_prob,not_recom,not_recom
2876,usual,critical,completed,2,convenient,inconv,problematic,recommended,priority
7648,pretentious,critical,foster,2,less_conv,inconv,problematic,not_recom,not_recom
8804,great_pret,proper,complete,more,convenient,convenient,slightly_prob,recommended,priority
8621,pretentious,very_crit,foster,more,critical,convenient,nonprob,recommended,spec_prior
2922,usual,critical,completed,3,convenient,convenient,problematic,priority,priority
5608,pretentious,less_proper,completed,more,critical,inconv,nonprob,not_recom,not_recom
7721,pretentious,critical,foster,more,convenient,convenient,nonprob,recommended,priority
8602,pretentious,very_crit,foster,more,convenient,inconv,problematic,not_recom,not_recom
6679,pretentious,improper,incomplete,more,critical,convenient,nonprob,not_recom,not_recom
11203,great_pret,improper,foster,more,less_conv,convenient,problematic,not_recom,not_recom
3385,usual,critical,foster,3,critical,convenient,nonprob,not_recom,not_recom
11664,great_pret,critical,incomplete,1,convenient,convenient,nonprob,priority,spec_prior
12239,great_pret,very_crit,complete,3,critical,convenient,nonprob,recommended,spec_prior
10900,great_pret,improper,incomplete,2,critical,inconv,nonprob,not_recom,not_recom
11417,great_pret,critical,complete,more,less_conv,convenient,problematic,recommended,spec_prior
8733,great_pret,proper,complete,2,critical,convenient,slightly_prob,priority,spec_prior
8824,great_pret,proper,complete,more,less_conv,convenient,slightly_prob,not_recom,not_recom
9220,great_pret,proper,incomplete,3,critical,convenient,slightly_prob,not_recom,not_recom
1962,usual,improper,completed,1,less_conv,convenient,nonprob,priority,priority
5964,pretentious,less_proper,foster,3,less_conv,convenient,problematic,priority,priority
5223,pretentious,less_proper,complete,1,critical,convenient,slightly_prob,priority,priority
11084,great_pret,improper,foster,2,convenient,inconv,problematic,recommended,spec_prior
3912,usual,very_crit,incomplete,1,less_conv,convenient,problematic,priority,spec_prior
2661,usual,critical,complete,2,convenient,inconv,problematic,priority,priority
1076,usual,less_proper,complete,more,critical,inconv,problematic,recommended,priority
10212,great_pret,less_proper,foster,2,convenient,convenient,problematic,priority,priority
9288,great_pret,proper,foster,1,convenient,convenient,nonprob,priority,priority
11565,great_pret,critical,completed,3,convenient,inconv,nonprob,priority,spec_prior
6181,pretentious,improper,complete,3,less_conv,convenient,problematic,not_recom,not_recom
917,usual,less_proper,complete,2,convenient,convenient,nonprob,recommended,very_recom
9537,great_pret,less_proper,complete,1,less_conv,inconv,problematic,priority,priority
9758,great_pret,less_proper,completed,1,critical,convenient,slightly_prob,recommended,priority
8776,great_pret,proper,complete,3,less_conv,inconv,nonprob,not_recom,not_recom
11362,great_pret,critical,complete,3,less_conv,convenient,slightly_prob,not_recom,not_recom
11869,great_pret,critical,incomplete,more,critical,convenient,problematic,not_recom,not_recom
5140,pretentious,proper,foster,more,convenient,inconv,nonprob,not_recom,not_recom
2896,usual,critical,completed,2,less_conv,inconv,problematic,not_recom,not_recom
2339,usual,improper,incomplete,more,less_conv,convenient,nonprob,recommended,priority
7300,pretentious,critical,completed,more,convenient,inconv,nonprob,not_recom,not_recom
2430,usual,improper,foster,2,convenient,convenient,nonprob,priority,priority
10791,great_pret,improper,completed,more,critical,inconv,nonprob,priority,spec_prior
1198,usual,less_proper,completed,3,convenient,inconv,nonprob,not_recom,not_recom
9723,great_pret,less_proper,completed,1,convenient,convenient,slightly_prob,priority,priority
1662,usual,less_proper,foster,3,critical,convenient,problematic,priority,priority
12668,great_pret,very_crit,incomplete,3,less_conv,inconv,problematic,recommended,spec_prior
4064,usual,very_crit,incomplete,more,convenient,inconv,problematic,recommended,spec_prior
12390,great_pret,very_crit,completed,2,less_conv,convenient,problematic,priority,spec_prior
5193,pretentious,less_proper,complete,1,convenient,inconv,nonprob,priority,priority
11798,great_pret,critical,incomplete,3,less_conv,inconv,nonprob,recommended,spec_prior
7230,pretentious,critical,completed,2,critical,inconv,slightly_prob,priority,spec_prior
10511,great_pret,improper,complete,3,critical,convenient,nonprob,recommended,spec_prior
8345,pretentious,very_crit,incomplete,3,less_conv,inconv,slightly_prob,recommended,spec_prior
1664,usual,less_proper,foster,3,critical,inconv,nonprob,recommended,priority
5785,pretentious,less_proper,incomplete,more,convenient,convenient,problematic,not_recom,not_recom
1938,usual,improper,complete,more,critical,inconv,slightly_prob,priority,priority
5915,pretentious,less_proper,foster,2,less_conv,inconv,slightly_prob,recommended,priority
1919,usual,improper,complete,more,less_conv,inconv,slightly_prob,recommended,priority
5682,pretentious,less_proper,incomplete,2,convenient,inconv,slightly_prob,priority,priority
12775,great_pret,very_crit,foster,1,less_conv,inconv,slightly_prob,not_recom,not_recom
2744,usual,critical,complete,3,critical,inconv,nonprob,recommended,priority
4540,pretentious,proper,completed,1,convenient,convenient,slightly_prob,not_recom,not_recom
10829,great_pret,improper,incomplete,1,less_conv,inconv,slightly_prob,recommended,priority
11590,great_pret,critical,completed,3,less_conv,inconv,problematic,not_recom,not_recom
5187,pretentious,less_proper,complete,1,convenient,convenient,slightly_prob,priority,priority
10690,great_pret,improper,completed,2,critical,inconv,problematic,not_recom,not_recom
10287,great_pret,less_proper,foster,3,less_conv,inconv,nonprob,priority,spec_prior
1297,usual,less_proper,incomplete,1,convenient,convenient,nonprob,not_recom,not_recom
3250,usual,critical,foster,1,convenient,inconv,nonprob,not_recom,not_recom
11487,great_pret,critical,completed,1,critical,convenient,slightly_prob,priority,spec_prior
9104,great_pret,proper,incomplete,1,less_conv,inconv,problematic,recommended,priority
1643,usual,less_proper,foster,3,less_conv,convenient,problematic,recommended,priority
244,usual,proper,completed,1,less_conv,inconv,nonprob,not_recom,not_recom
5696,pretentious,less_proper,incomplete,2,less_conv,inconv,nonprob,recommended,priority
4676,pretentious,proper,completed,3,less_conv,inconv,problematic,recommended,priority
6879,pretentious,improper,foster,more,less_conv,convenient,slightly_prob,priority,spec_prior
6946,pretentious,critical,complete,1,less_conv,inconv,problematic,not_recom,not_recom
11010,great_pret,improper,incomplete,more,critical,inconv,slightly_prob,priority,spec_prior
2156,usual,improper,completed,more,critical,inconv,problematic,recommended,priority
8209,pretentious,very_crit,incomplete,1,convenient,convenient,nonprob,not_recom,not_recom
3849,usual,very_crit,completed,more,convenient,inconv,problematic,priority,spec_prior
12602,great_pret,very_crit,incomplete,2,less_conv,convenient,slightly_prob,recommended,spec_prior
1395,usual,less_proper,incomplete,2,critical,inconv,nonprob,priority,priority
8590,pretentious,very_crit,foster,more,convenient,convenient,slightly_prob,not_recom,not_recom
7318,pretentious,critical,completed,more,less_conv,inconv,nonprob,not_recom,not_recom
8464,pretentious,very_crit,foster,1,critical,convenient,slightly_prob,not_recom,not_recom
11103,great_pret,improper,foster,2,less_conv,inconv,problematic,priority,spec_prior
5722,pretentious,less_proper,incomplete,2,critical,inconv,problematic,not_recom,not_recom
9692,great_pret,less_proper,complete,more,less_conv,inconv,nonprob,recommended,priority
1851,usual,improper,complete,3,convenient,inconv,problematic,priority,priority
10964,great_pret,improper,incomplete,more,convenient,convenient,slightly_prob,recommended,priority
9871,great_pret,less_proper,completed,3,critical,convenient,problematic,not_recom,not_recom
4048,usual,very_crit,incomplete,3,critical,inconv,problematic,not_recom,not_recom
7229,pretentious,critical,completed,2,critical,inconv,slightly_prob,recommended,spec_prior
8631,pretentious,very_crit,foster,more,critical,inconv,nonprob,priority,spec_prior
7933,pretentious,very_crit,complete,3,critical,inconv,slightly_prob,not_recom,not_recom
102,usual,proper,complete,2,critical,inconv,slightly_prob,priority,priority
3907,usual,very_crit,incomplete,1,less_conv,convenient,nonprob,not_recom,not_recom
7446,pretentious,critical,incomplete,2,critical,inconv,slightly_prob,priority,spec_prior
6733,pretentious,improper,foster,1,critical,convenient,nonprob,not_recom,not_recom
3113,usual,critical,incomplete,2,critical,convenient,nonprob,recommended,priority
3909,usual,very_crit,incomplete,1,less_conv,convenient,slightly_prob,priority,spec_prior
8516,pretentious,very_crit,foster,2,critical,convenient,slightly_prob,recommended,spec_prior
6229,pretentious,improper,complete,more,less_conv,convenient,nonprob,not_recom,not_recom
1913,usual,improper,complete,more,less_conv,convenient,problematic,recommended,priority
1748,usual,improper,complete,1,less_conv,convenient,slightly_prob,recommended,very_recom
4077,usual,very_crit,incomplete,more,less_conv,inconv,nonprob,priority,spec_prior
4650,pretentious,proper,completed,3,convenient,convenient,problematic,priority,priority
9963,great_pret,less_proper,incomplete,1,less_conv,inconv,nonprob,priority,priority
1145,usual,less_proper,completed,2,convenient,inconv,slightly_prob,recommended,very_recom
8437,pretentious,very_crit,foster,1,convenient,inconv,slightly_prob,not_recom,not_recom
2800,usual,critical,complete,more,critical,inconv,nonprob,not_recom,not_recom
2257,usual,improper,incomplete,2,critical,convenient,problematic,not_recom,not_recom
9333,great_pret,proper,foster,1,critical,inconv,nonprob,priority,spec_prior
3019,usual,critical,completed,more,critical,inconv,slightly_prob,not_recom,not_recom
12400,great_pret,very_crit,completed,2,less_conv,inconv,problematic,not_recom,not_recom
7823,pretentious,very_crit,complete,1,critical,inconv,slightly_prob,recommended,priority
7790,pretentious,very_crit,complete,1,convenient,inconv,problematic,recommended,spec_prior
7455,pretentious,critical,incomplete,3,convenient,convenient,slightly_prob,priority,spec_prior
7426,pretentious,critical,incomplete,2,less_conv,inconv,nonprob,not_recom,not_recom
10916,great_pret,improper,incomplete,3,convenient,inconv,nonprob,recommended,spec_prior
2171,usual,improper,incomplete,1,convenient,inconv,slightly_prob,recommended,very_recom
3803,usual,very_crit,completed,3,less_conv,convenient,problematic,recommended,spec_prior
1086,usual,less_proper,completed,1,convenient,convenient,problematic,priority,priority
12017,great_pret,critical,foster,3,less_conv,inconv,slightly_prob,recommended,spec_prior
10674,great_pret,improper,completed,2,critical,convenient,nonprob,priority,spec_prior
1831,usual,improper,complete,2,critical,inconv,slightly_prob,not_recom,not_recom
3846,usual,very_crit,completed,more,convenient,inconv,slightly_prob,priority,spec_prior
4557,pretentious,proper,completed,1,less_conv,convenient,slightly_prob,priority,priority
6134,pretentious,improper,complete,2,less_conv,inconv,problematic,recommended,priority
3139,usual,critical,incomplete,3,convenient,convenient,problematic,not_recom,not_recom
2993,usual,critical,completed,more,less_conv,convenient,problematic,recommended,spec_prior
7413,pretentious,critical,incomplete,2,convenient,inconv,problematic,priority,spec_prior
1160,usual,less_proper,completed,2,less_conv,inconv,nonprob,recommended,very_recom
9746,great_pret,less_proper,completed,1,less_conv,inconv,nonprob,recommended,priority
4325,pretentious,proper,complete,1,convenient,convenient,problematic,recommended,priority
1707,usual,less_proper,foster,more,less_conv,inconv,problematic,priority,priority
4360,pretentious,proper,complete,1,critical,convenient,slightly_prob,not_recom,not_recom
4809,pretentious,proper,incomplete,2,convenient,convenient,slightly_prob,priority,priority
2646,usual,critical,complete,2,convenient,convenient,nonprob,priority,priority
8790,great_pret,proper,complete,3,critical,convenient,problematic,priority,spec_prior
9036,great_pret,proper,completed,more,less_conv,convenient,nonprob,priority,spec_prior
1261,usual,less_proper,completed,more,less_conv,convenient,nonprob,not_recom,not_recom
5068,pretentious,proper,foster,2,critical,inconv,nonprob,not_recom,not_recom
7989,pretentious,very_crit,complete,more,critical,inconv,problematic,priority,spec_prior
2783,usual,critical,complete,more,less_conv,inconv,slightly_prob,recommended,priority
4256,usual,very_crit,foster,3,critical,inconv,nonprob,recommended,spec_prior
9029,great_pret,proper,completed,more,convenient,inconv,slightly_prob,recommended,priority
9757,great_pret,less_proper,completed,1,critical,convenient,nonprob,not_recom,not_recom
2984,usual,critical,completed,more,convenient,inconv,problematic,recommended,spec_prior
3249,usual,critical,foster,1,convenient,inconv,nonprob,priority,spec_prior
104,usual,proper,complete,2,critical,inconv,problematic,recommended,priority
5162,pretentious,proper,foster,more,less_conv,inconv,problematic,recommended,priority
8826,great_pret,proper,complete,more,less_conv,convenient,problematic,priority,spec_prior
3596,usual,very_crit,complete,3,less_conv,inconv,problematic,recommended,spec_prior
2383,usual,improper,foster,1,convenient,convenient,problematic,not_recom,not_recom
12242,great_pret,very_crit,complete,3,critical,convenient,slightly_prob,recommended,spec_prior
365,usual,proper,completed,3,critical,convenient,problematic,recommended,priority
12762,great_pret,very_crit,foster,1,less_conv,convenient,nonprob,priority,spec_prior
11222,great_pret,improper,foster,more,critical,inconv,nonprob,recommended,spec_prior
8128,pretentious,very_crit,completed,3,less_conv,inconv,nonprob,not_recom,not_recom
7872,pretentious,very_crit,complete,2,critical,convenient,problematic,priority,spec_prior
7217,pretentious,critical,completed,2,critical,convenient,nonprob,recommended,spec_prior
7454,pretentious,critical,incomplete,3,convenient,convenient,slightly_prob,recommended,priority
6990,pretentious,critical,complete,2,less_conv,convenient,problematic,priority,spec_prior
4373,pretentious,proper,complete,2,convenient,convenient,nonprob,recommended,very_recom
10494,great_pret,improper,complete,3,less_conv,convenient,nonprob,priority,spec_prior
5210,pretentious,less_proper,complete,1,less_conv,inconv,nonprob,recommended,very_recom
0,usual,proper,complete,1,convenient,convenient,nonprob,priority,priority
10712,great_pret,improper,completed,3,less_conv,convenient,slightly_prob,recommended,spec_prior
2791,usual,critical,complete,more,critical,convenient,nonprob,not_recom,not_recom
7094,pretentious,critical,complete,more,less_conv,convenient,slightly_prob,recommended,spec_prior
3860,usual,very_crit,completed,more,less_conv,inconv,nonprob,recommended,spec_prior
9915,great_pret,less_proper,completed,more,less_conv,inconv,problematic,priority,spec_prior
8788,great_pret,proper,complete,3,critical,convenient,slightly_prob,not_recom,not_recom
12633,great_pret,very_crit,incomplete,2,critical,inconv,problematic,priority,spec_prior
4176,usual,very_crit,foster,2,less_conv,convenient,nonprob,priority,spec_prior
11509,great_pret,critical,completed,2,convenient,convenient,problematic,not_recom,not_recom
1985,usual,improper,completed,1,critical,convenient,problematic,recommended,priority
2047,usual,improper,completed,2,critical,inconv,slightly_prob,not_recom,not_recom
9784,great_pret,less_proper,completed,2,convenient,inconv,nonprob,not_recom,not_recom
5098,pretentious,proper,foster,3,less_conv,convenient,slightly_prob,not_recom,not_recom
9912,great_pret,less_proper,completed,more,less_conv,inconv,slightly_prob,priority,spec_prior
12162,great_pret,very_crit,complete,2,convenient,inconv,slightly_prob,priority,spec_prior
8338,pretentious,very_crit,incomplete,3,less_conv,convenient,slightly_prob,not_recom,not_recom
4860,pretentious,proper,incomplete,3,convenient,convenient,nonprob,priority,priority
3518,usual,very_crit,complete,2,convenient,inconv,nonprob,recommended,priority
9117,great_pret,proper,incomplete,1,critical,inconv,nonprob,priority,spec_prior
3796,usual,very_crit,completed,3,convenient,inconv,problematic,not_recom,not_recom
146,usual,proper,complete,3,critical,convenient,slightly_prob,recommended,priority
11808,great_pret,critical,incomplete,3,critical,convenient,nonprob,priority,spec_prior
9697,great_pret,less_proper,complete,more,less_conv,inconv,slightly_prob,not_recom,not_recom
1795,usual,improper,complete,2,convenient,inconv,slightly_prob,not_recom,not_recom
1987,usual,improper,completed,1,critical,convenient,problematic,not_recom,not_recom
8144,pretentious,very_crit,completed,3,critical,inconv,nonprob,recommended,spec_prior
1239,usual,less_proper,completed,3,critical,inconv,problematic,priority,priority
5454,pretentious,less_proper,completed,2,convenient,convenient,nonprob,priority,priority
3891,usual,very_crit,incomplete,1,convenient,convenient,slightly_prob,priority,spec_prior
12743,great_pret,very_crit,foster,1,convenient,convenient,nonprob,recommended,priority
3242,usual,critical,foster,1,convenient,convenient,slightly_prob,recommended,priority
10946,great_pret,improper,incomplete,3,critical,convenient,slightly_prob,recommended,spec_prior
6660,pretentious,improper,incomplete,more,less_conv,convenient,nonprob,priority,spec_prior
7159,pretentious,critical,completed,1,less_conv,inconv,slightly_prob,not_recom,not_recom
11210,great_pret,improper,foster,more,less_conv,inconv,problematic,recommended,spec_prior
11520,great_pret,critical,completed,2,less_conv,convenient,nonprob,priority,spec_prior
6997,pretentious,critical,complete,2,less_conv,inconv,slightly_prob,not_recom,not_recom
5084,pretentious,proper,foster,3,convenient,inconv,nonprob,recommended,priority
3536,usual,very_crit,complete,2,less_conv,inconv,nonprob,recommended,priority
10133,great_pret,less_proper,incomplete,more,critical,convenient,nonprob,recommended,priority
10650,great_pret,improper,completed,2,convenient,inconv,slightly_prob,priority,spec_prior
5120,pretentious,proper,foster,3,critical,inconv,nonprob,recommended,priority
4025,usual,very_crit,incomplete,3,less_conv,inconv,slightly_prob,recommended,spec_prior
11535,great_pret,critical,completed,2,less_conv,inconv,problematic,priority,spec_prior
8736,great_pret,proper,complete,2,critical,convenient,problematic,priority,spec_prior
9766,great_pret,less_proper,completed,1,critical,inconv,nonprob,not_recom,not_recom
6865,pretentious,improper,foster,more,convenient,convenient,problematic,not_recom,not_recom
4558,pretentious,proper,completed,1,less_conv,convenient,slightly_prob,not_recom,not_recom
6114,pretentious,improper,complete,2,convenient,inconv,slightly_prob,priority,priority
6924,pretentious,critical,complete,1,convenient,inconv,slightly_prob,priority,spec_prior
8837,great_pret,proper,complete,more,critical,convenient,nonprob,recommended,priority
7784,pretentious,very_crit,complete,1,convenient,inconv,nonprob,recommended,priority
12278,great_pret,very_crit,complete,more,less_conv,convenient,slightly_prob,recommended,spec_prior
6531,pretentious,improper,incomplete,1,critical,inconv,problematic,priority,spec_prior
544,usual,proper,incomplete,3,convenient,convenient,slightly_prob,not_recom,not_recom
11426,great_pret,critical,complete,more,less_conv,inconv,problematic,recommended,spec_prior
6479,pretentious,improper,incomplete,1,convenient,convenient,nonprob,recommended,priority
11773,great_pret,critical,incomplete,3,convenient,convenient,nonprob,not_recom,not_recom
3299,usual,critical,foster,2,convenient,convenient,problematic,recommended,priority
4284,usual,very_crit,foster,more,less_conv,convenient,nonprob,priority,spec_prior
7006,pretentious,critical,complete,2,critical,convenient,slightly_prob,not_recom,not_recom
2032,usual,improper,completed,2,less_conv,inconv,problematic,not_recom,not_recom
11975,great_pret,critical,foster,2,critical,convenient,problematic,recommended,spec_prior
1829,usual,improper,complete,2,critical,inconv,slightly_prob,recommended,priority
7978,pretentious,very_crit,complete,more,critical,convenient,slightly_prob,not_recom,not_recom
4656,pretentious,proper,completed,3,convenient,inconv,slightly_prob,priority,priority
4587,pretentious,proper,completed,1,critical,inconv,problematic,priority,priority
7801,pretentious,very_crit,complete,1,less_conv,convenient,problematic,not_recom,not_recom
7169,pretentious,critical,completed,1,critical,convenient,problematic,recommended,spec_prior
7468,pretentious,critical,incomplete,3,convenient,inconv,problematic,not_recom,not_recom
17,usual,proper,complete,1,less_conv,convenient,nonprob,recommended,very_recom
1963,usual,improper,completed,1,less_conv,convenient,nonprob,not_recom,not_recom
4820,pretentious,proper,incomplete,2,convenient,inconv,problematic,recommended,priority
3390,usual,critical,foster,3,critical,convenient,problematic,priority,spec_prior
2937,usual,critical,completed,3,less_conv,convenient,slightly_prob,priority,spec_prior
5380,pretentious,less_proper,complete,more,less_conv,inconv,problematic,not_recom,not_recom
1092,usual,less_proper,completed,1,convenient,inconv,slightly_prob,priority,priority
5813,pretentious,less_proper,incomplete,more,critical,convenient,nonprob,recommended,priority
5461,pretentious,less_proper,completed,2,convenient,convenient,problematic,not_recom,not_recom
6144,pretentious,improper,complete,2,critical,convenient,problematic,priority,spec_prior
10192,great_pret,less_proper,foster,1,critical,convenient,slightly_prob,not_recom,not_recom
11369,great_pret,critical,complete,3,less_conv,inconv,slightly_prob,recommended,spec_prior
2029,usual,improper,completed,2,less_conv,inconv,slightly_prob,not_recom,not_recom
2384,usual,improper,foster,1,convenient,inconv,nonprob,recommended,priority
6533,pretentious,improper,incomplete,2,convenient,convenient,nonprob,recommended,priority
2795,usual,critical,complete,more,critical,convenient,problematic,recommended,spec_prior
5198,pretentious,less_proper,complete,1,convenient,inconv,problematic,recommended,priority
3549,usual,very_crit,complete,2,critical,convenient,slightly_prob,priority,spec_prior
2730,usual,critical,complete,3,less_conv,inconv,slightly_prob,priority,spec_prior
5705,pretentious,less_proper,incomplete,2,critical,convenient,nonprob,recommended,priority
12294,great_pret,very_crit,complete,more,critical,convenient,nonprob,priority,spec_prior
8715,great_pret,proper,complete,2,less_conv,convenient,slightly_prob,priority,priority
3231,usual,critical,incomplete,more,critical,inconv,nonprob,priority,spec_prior
9970,great_pret,less_proper,incomplete,1,less_conv,inconv,problematic,not_recom,not_recom
6217,pretentious,improper,complete,more,convenient,convenient,problematic,not_recom,not_recom
5484,pretentious,less_proper,completed,2,less_conv,inconv,slightly_prob,priority,priority
8379,pretentious,very_crit,incomplete,more,convenient,inconv,nonprob,priority,spec_prior
